recording_name,parent_A_gender,parent_A_education,parent_B_gender,parent_B_education
CogControl7_S01_44066,F,high_school,M,some_high_school
CogControl7_S02_44457,F,bachelors,M,bachelors
CogControl7_S03_44478,F,high_school,M,high_school
CogControl7_S04_44732,F,high_school,M,some_university
CogControl7_S05_44546,F,masters,M,some_university
CogControl7_S06_44661,M,bachelors,F,masters
CogControl7_S07_44663,F,bachelors,M,bachelors
CogControl7_S08_45267,F,bachelors,M,bachelors
CogControl7_S09_45223,F,college,M,some_university
CogControl7_S10_45270,F,bachelors,M,bachelors
CogControl7_S11_44706,F,masters,M,masters
CogControl7_S12_45352,F,some_university,M,some_university
CogControl7_S13_45232,F,bachelors,M,college
CogControl7_S14_45222,M,masters,M,masters
CogControl7_S15_45233,M,other,F,some_university
CogControl7_S16_45233,F,masters,M,bachelors
CogControl7_S17_45294,F,bachelors,M,bachelors
CogControl7_S18_45376,F,some_university,M,some_high_school
CogControl7_S19_45347,F,bachelors,M,bachelors
CogControl7_S20_45487,F,college,M,trade_school
CogControl7_S21_44875,F,high_school,M,high_school
CogControl7_S22_45370,M,bachelors,F,doctoral
CogControl7_S23_45497,M,masters,F,bachelors
CogControl7_S24_44771,F,masters,F,masters
CogControl7_S25_45218,F,bachelors,M,bachelors
CogControl7_S26_45238,F,high_school,M,high_school
CogControl7_S27_44912,M,trade_school,F,high_school
CogControl7_S28_45244,F,bachelors,M,masters
CogControl7_S29_44897,F,bachelors,M,bachelors
CogControl7_S30_44822,F,trade_school,M,some_high_school
CogControl7_S31_45540,F,bachelors,M,college
CogControl7_S32_44793,F,bachelors,M,trade_school
CogControl7_S33_44840,F,bachelors,M,some_university
CogControl7_S34_44766,F,bachelors,M,bachelors
CogControl7_S35_44826,F,professional,M,high_school
CogControl7_S36_44078,F,bachelors,M,college
CogControl7_S37_44860,F,masters,M,some_university
CogControl7_S38_44609,F,bachelors,M,bachelors
CogControl7_S39_45544,F,bachelors,M,masters
CogControl7_S40_44748,M,professional,F,masters
CogControl7_S41_46315,F,masters,M,trade_school
CogControl7_S42_46312,F,high_school,M,college
CogControl7_S43_46678,M,college,F,bachelors
CogControl7_S44_46737,F,bachelors,M,bachelors
CogControl7_S45_46534,M,masters,F,bachelors
CogControl7_S46_46742,F,bachelors,M,bachelors
CogControl7_S47_44689,F,college,M,masters
CogControl7_S48_48228,F,masters,M,bachelors
CogControl7_S49_48376,F,bachelors,M,bachelors
CogControl7_S50_46579,F,some_university,M,trade_school
CogControl7_S51_48331,F,masters,M,college
CogControl7_S52_48335,F,some_university,M,bachelors
CogControl7_S53_46739,F,college,M,some_university
CogControl7_S54_48439,F,some_university,M,doctoral
CogControl7_S55_48392,F,trade_school,,
CogControl7_S56_46748,F,college,M,some_university
CogControl7_S57_48655,F,,M,
CogControl7_S58_47191,F,masters,M,bachelors
CogControl7_S59_48322,F,attestation_of_college,M,some_high_school
CogControl7_S60_48346,F,some_university,M,college
CogControl7_S61_48854,F,bachelors,,
CogControl7_S62_48404,F,bachelors,M,some_university
CogControl7_S63_45572,F,some_university,M,college
CogControl7_S64_48350,F,other,M,trade_school
CogControl7_S65_48340,F,masters,M,masters
CogControl7_S66_48210,F,bachelors,M,bachelors
CogControl7_S67_48428,F,bachelors,M,masters
CogControl7_S68_48807,F,masters,M,professional
CogControl7_S69_48718,F,college,M,bachelors
CogControl7_S70_48886,F,college,M,trade_school
CogControl7_S71_48413,M,some_university,F,masters
CogControl7_S72_48719,F,bachelors,M,college
CogControl7_S73_48736,F,bachelors,M,masters
CogControl7_S74_48688,F,college,M,bachelors
CogControl7_S75_47606,F,college,M,high_school
CogControl7_S76_48701,F,masters,M,trade_school
CogControl7_S77_48384,F,bachelors,M,college
CogControl7_S78_48933,F,masters,M,bachelors
CogControl7_S79_48652,F,bachelors,M,masters
CogControl7_S80_48917,F,masters,M,doctoral
CogControl7_S81_47163,F,bachelors,M,other
CogControl7_S82_48856,M,bachelors,F,bachelors
CogControl7_S83_48746,F,masters,M,bachelors
CogControl7_S84_46540,F,attestation_of_college,M,professional
CogControl7_S85_48626,F,bachelors,M,college
CogControl7_S86_48791,F,bachelors,M,high_school
CogControl7_S87_48962,F,masters,M,bachelors
CogControl7_S88_48985,F,some_university,M,bachelors
CogControl7_S89_48892,F,masters,M,masters
CogControl7_S90_48332,F,college,M,some_high_school
CogControl7_S91_48976,F,doctoral,M,doctoral
CogControl7_S92_48926,F,college,M,professional
CogControl7_S93_48709,F,bachelors,M,some_university
CogControl7_S94_48918,F,bachelors,M,masters
CogControl7_S95_48442,F,professional,M,masters
CogControl7_S96_48706,F,masters,,
CogControl7_S97_48919,F,bachelors,M,other
CogControl7_S98_49257,F,bachelors,M,bachelors
CogControl7_S99_48755,F,bachelors,M,bachelors
CogControl7_S100_49278,F,masters,M,masters
CogControl7_S101_49301,F,masters,M,bachelors
CogControl7_S102_48896,F,college,M,bachelors
CogControl7_S103_48923,F,bachelors,M,doctoral
CogControl7_S104_49308,F,masters,M,bachelors
CogControl7_S105_49407,F,masters,M,bachelors
CogControl7_S106_49057,F,masters,M,masters
CogControl7_S107_49263,F,bachelors,M,professional
CogControl7_S108_48416,F,masters,M,masters
